Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),AccAll,Force
277,7.16,-5.53,-16.04,-0.02,0.067,0.134,0.15114562514343577,0.6153365118026985
278,7.12,-4.91,-16.52,-0.013,0.051,0.105,0.11745211790342479,0.4781651898025278
279,7.01,-4.35,-16.92,-0.006,0.044,0.09,0.10035935432235502,0.4085779853494556
280,6.85,-3.83,-17.25,-0.01,0.067,0.128,0.14482057864820178,0.5895862987636267
281,6.79,-3.41,-17.54,-0.034,0.076,0.153,0.1741866814656046,0.7091401082486962
282,6.79,-3.14,-17.78,-0.07,0.027,0.134,0.15357408635573908,0.6252231416671672
283,6.82,-2.88,-18.12,-0.045,-0.002,0.087,0.09796938297243685,0.3988480534882363
284,6.80,-2.60,-18.48,-0.013,-0.02,0.035,0.04235563716909475,0.1724361522609601
285,6.62,-2.30,-18.75,0.006,-0.038,0.015,0.04129164564412516,0.16810448316408014
286,6.31,-2.01,-18.89,-0.002,-0.003,0.03,0.030215889859476253,0.12301342000140673
287,5.98,-1.82,-18.97,-0.047,0.011,0.085,0.09774968030638259,0.3979536109793295
288,5.72,-1.67,-19.07,-0.077,0.025,0.13,0.15314698821720263,0.6234843610804645
289,5.57,-1.58,-19.20,-0.095,0.023,0.138,0.16910943202553783,0.6884698641907683
290,5.50,-1.51,-19.38,-0.106,-0.012,0.115,0.15685981002156035,0.6385998155692754
291,5.40,-1.45,-19.62,-0.077,-0.036,0.069,0.1094805918873295,0.4457119116621015
292,5.25,-1.35,-19.84,-0.031,-0.011,0.04,0.05178802950489621,0.2108368363188582
293,5.13,-1.18,-20.02,-0.018,0.013,0.04,0.0457493169347915,0.18625233163907642
294,5.01,-1.02,-20.11,-0.042,0.013,0.073,0.08521736912155878,0.346932692299234
295,4.95,-0.93,-20.22,-0.081,0.048,0.126,0.15729272074701994,0.6403622600692302
296,5.11,-0.93,-20.45,-0.119,0.038,0.158,0.2014174768981083,0.8200007610737337
297,5.42,-0.97,-20.93,-0.146,-0.034,0.149,0.21135988266461542,0.8604777863100491
298,5.77,-0.97,-21.57,-0.101,-0.078,0.08,0.1506154042586614,0.6131779030476493
299,5.87,-1.20,-22.09,-0.005,-0.042,0.017,0.04558508528016593,0.18558371993834752
300,5.88,-1.36,-22.49,0.038,0.006,-0.021,0.04382921400162225,0.17843530458270443
301,5.96,-1.27,-22.86,0.047,0.017,-0.02,0.05383307533477909,0.2191625246491859
